,state,month,cases,month_name,fips,new_cases,color,Population,case_rate
16,Alaska,10,16247,October,2,7540.0,r,731545,1030.695309242767
36,Arkansas,10,112190,October,5,28493.0,r,3017804,944.1633717762983
130,Illinois,10,416557,October,17,119622.0,b,12671821,944.0000770212899
230,Mississippi,10,120160,October,28,21970.0,r,2976149,738.2022875870798
248,Montana,10,32801,October,30,19622.0,r,1068778,1835.9285090074832
7,Alabama,10,192285,October,1,37584.0,r,4903185,766.5221687535754
480,Wyoming,10,13298,October,56,7350.0,r,578759,1269.9586529107971
102,Georgia,11,452322,November,13,79691.0,r,10617423,750.5681934307411
386,South Carolina,11,216129,November,45,39517.0,r,5148714,767.5120428130209
93,Florida,11,992652,November,12,190113.0,r,21477737,885.1630877126394
472,Wisconsin,11,409054,November,55,171184.0,r,5822434,2940.076263638197
84,District of Columbia,11,21448,November,11,4182.0,b,705749,592.5619448274102
395,South Dakota,11,79900,November,46,33908.0,r,884659,3832.889282763189
75,Delaware,11,35251,November,10,10300.0,b,973764,1057.751159418504
66,Connecticut,11,112581,November,9,41374.0,b,3565287,1160.467586480415
442,Virginia,11,235942,November,51,54752.0,b,8535519,641.4607008665788
8,Alabama,11,247229,November,1,54944.0,r,4903185,1120.5777469134857
404,Tennessee,11,358809,November,47,101886.0,r,6829174,1491.922742047574
48,California,11,1219496,November,6,284248.0,b,39512223,719.3925788483224
37,Arkansas,11,156247,November,5,44057.0,r,3017804,1459.9026311847954
462,West Virginia,11,46997,November,54,22537.0,r,1792147,1257.541931549142
414,Texas,11,1247065,November,48,293614.0,r,28995881,1012.6058939198984
453,Washington,11,168333,November,53,55753.0,b,7614893,732.1573658356066
28,Arizona,11,325995,November,4,80033.0,r,7278717,1099.5481758667083
17,Alaska,11,31896,November,2,15649.0,r,731545,2139.1712061458966
424,Utah,11,193809,November,49,79139.0,r,3205958,2468.4977158153665
57,Colorado,11,230057,November,8,122213.0,b,5758736,2122.2191814314806
259,Nebraska,11,126466,November,31,55734.0,r,1934408,2881.1915583475666
377,Rhode Island,11,53954,November,44,21080.0,b,1059361,1989.8788042980627
